Exponent p,Exponent q,$M_{\star} [M_{\odot}]$,Disc Mass,Disc-to-Star Mass Ratio
-1.792,-0.3,0.2,0.002,0.01
-1.796,-0.5,0.2,0.002,0.01
-1.83,-0.7,0.2,0.002,0.01
-1.801,-0.3,0.2,0.01,0.05
-1.786,-0.5,0.2,0.01,0.05
-1.836,-0.7,0.2,0.01,0.05
-1.809,-0.3,0.2,0.02,0.1
-1.74,-0.5,0.2,0.02,0.1
-1.827,-0.7,0.2,0.02,0.1
-1.749,-0.3,0.6,0.006,0.01
-1.773,-0.5,0.6,0.006,0.01
-1.826,-0.7,0.6,0.006,0.01
-1.75,-0.3,0.6,0.03,0.05
-1.779,-0.5,0.6,0.03,0.05
-1.821,-0.7,0.6,0.03,0.05
-1.747,-0.3,0.6,0.06,0.1
-1.786,-0.5,0.6,0.06,0.1
-1.861,-0.7,0.6,0.06,0.1
-1.689,-0.3,1,0.01,0.01
-1.736,-0.5,1,0.01,0.01
-1.821,-0.7,1,0.01,0.01
-1.686,-0.3,1,0.05,0.05
-1.749,-0.5,1,0.05,0.05
-1.817,-0.7,1,0.05,0.05
-1.683,-0.3,1,0.1,0.1
-1.737,-0.5,1,0.1,0.1
-1.828,-0.7,1,0.1,0.1
